Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
baseL2_0,1,1,0,1,0,NA,-1.60E-08,4.19E-08,-0.3813118602
Coding_UCSCL2_0,0.0142591399,0.0663440468,0.0415116132,4.6527383429,2.9112284158,0.2112571066,5.82E-07,3.87E-07,1.5014027605
Coding_UCSC.flanking.500L2_0,0.049362884,0.1228904325,0.053912156,2.4895310522,1.0921597702,0.1686966512,1.08E-07,1.09E-07,0.9891622726
Conserved_LindbladTohL2_0,0.0246705381,0.0218621083,0.0635014503,0.8861626072,2.5739791363,0.9646283303,-3.09E-07,3.34E-07,-0.9253115593
Conserved_LindbladToh.flanking.500L2_0,0.3055313572,0.4662545886,0.1025192042,1.5260449624,0.3355439688,0.1221461412,-3.37E-08,5.32E-08,-0.6343057596
CTCF_HoffmanL2_0,0.0238146642,0.0034110361,0.0606753706,0.1432325926,2.5478154977,0.7374208136,-2.48E-07,2.21E-07,-1.1208867948
CTCF_Hoffman.flanking.500L2_0,0.0469797903,0.0050758247,0.0805907275,0.108042727,1.7154339546,0.5966222807,-8.28E-08,1.45E-07,-0.5698623362
DGF_ENCODEL2_0,0.1353626031,0.5435269715,0.1476586329,4.0153407134,1.0908377162,0.0055323485,2.33E-07,1.33E-07,1.7480737373
DGF_ENCODE.flanking.500L2_0,0.4028609202,0.2918273761,0.1535799237,0.7243874038,0.3812231865,0.4643819106,3.66E-08,4.99E-08,0.7340592539
DHS_peaks_TrynkaL2_0,0.1099598249,0.2886065691,0.152875878,2.6246546804,1.3902884816,0.2442414097,-8.75E-08,1.93E-07,-0.452621865
DHS_TrynkaL2_0,0.1657427691,0.3848085469,0.1634525467,2.3217214778,0.9861820672,0.1811146067,-7.27E-08,1.43E-07,-0.5067348237
DHS_Trynka.flanking.500L2_0,0.3300626606,0.3079577619,0.1813703653,0.933028175,0.5495028274,0.9025321547,-2.12E-09,6.77E-08,-0.0312732313
Enhancer_AnderssonL2_0,0.0043137584,0.0877205285,0.0458740731,20.3350580555,10.6343629582,0.0734202348,1.18E-06,8.87E-07,1.3332566449
Enhancer_Andersson.flanking.500L2_0,0.0147088846,0.1311192387,0.0500314036,8.9142883324,3.4014410222,0.0231967944,5.47E-07,2.85E-07,1.9181817615
Enhancer_HoffmanL2_0,0.0419232233,0.0787048471,0.0615935628,1.8773567693,1.4691991197,0.5514614714,-2.82E-07,1.50E-07,-1.8728619135
Enhancer_Hoffman.flanking.500L2_0,0.0478821316,0.1854876935,0.0794553447,3.8738395115,1.6593944757,0.0789071521,8.84E-08,1.54E-07,0.5744619083
FetalDHS_TrynkaL2_0,0.0836828878,0.2617008203,0.1177461259,3.1272919356,1.4070514169,0.1285165181,-1.48E-08,1.55E-07,-0.0955466998
FetalDHS_Trynka.flanking.500L2_0,0.1995174093,0.2726850267,0.1331333444,1.3667229725,0.6672768299,0.5836138474,5.13E-08,7.19E-08,0.7135305641
H3K27ac_HniszL2_0,0.3890438084,0.7287173832,0.0552745316,1.8730985235,0.142077911,2.34E-10,2.62E-08,2.62E-08,0.999079301
H3K27ac_Hnisz.flanking.500L2_0,0.0314153674,-0.023229327,0.0611411587,-0.7394256039,1.9462181669,0.3645533605,-1.53E-07,1.53E-07,-0.9977285341
H3K27ac_PGC2L2_0,0.2685212725,0.6413540889,0.0922762336,2.3884665935,0.3436458971,6.01E-05,9.76E-08,5.12E-08,1.9037606016
