ENSG,ET02,ET202,ET1H2,ET2H2,ET4H2,ET24H2
ENSG00000000003,33,9,14,43,18,19
ENSG00000000419,864,636,1304,1274,1168,1812
ENSG00000000457,144,150,455,469,403,394
ENSG00000000460,78,49,255,409,2081,1039
ENSG00000000938,29,36,35,18,44,4
ENSG00000000971,51,52,54,29,18,14
ENSG00000001036,23,26,46,24,14,107
ENSG00000001084,407,277,601,381,772,1255
ENSG00000001167,454,426,1102,1122,1661,995
ENSG00000001460,52,55,97,68,46,182
ENSG00000001461,488,416,676,613,606,925
ENSG00000001497,1186,894,1472,813,1665,2086
ENSG00000001561,140,98,201,204,242,426
ENSG00000001617,27,20,51,6,7,0
ENSG00000001626,0,0,0,0,1,4
ENSG00000001629,986,894,1150,1177,1881,1976
ENSG00000001630,60,29,56,35,45,101
ENSG00000001631,910,776,1490,1400,1856,2077
ENSG00000002016,78,69,172,187,123,266
ENSG00000002330,189,174,275,132,106,273
ENSG00000002549,760,652,1248,1010,2074,3277
ENSG00000002586,2,0,0,0,0,0
ENSG00000002587,0,0,0,0,0,2
ENSG00000002746,0,0,0,0,3,0
ENSG00000002822,664,526,1009,780,893,863
ENSG00000002834,1352,1333,2335,1776,1175,2920
ENSG00000002919,200,124,285,238,384,824
ENSG00000002933,0,2,2,10,4,0
ENSG00000003056,460,316,1049,1188,2906,4912
ENSG00000003096,5,9,3,9,6,19
ENSG00000003137,0,0,0,1,0,0
ENSG00000003147,11,16,25,29,39,4
ENSG00000003249,23,23,4,18,13,36
ENSG00000003393,221,194,412,275,314,574
ENSG00000003400,858,565,1476,1158,1246,208
ENSG00000003402,5032,3888,8005,6808,14837,9345
ENSG00000003436,4,0,24,2,15,0
ENSG00000003509,667,464,1067,534,561,529
ENSG00000003756,5580,4028,9381,6102,5643,3399
ENSG00000004059,676,540,937,759,702,1369
ENSG00000004139,588,381,607,273,300,1032
ENSG00000004142,605,514,691,606,818,3611
ENSG00000004399,882,798,1327,656,369,134
ENSG00000004455,308,344,515,551,1886,5333
ENSG00000004468,151,132,181,137,276,334
ENSG00000004478,399,364,1032,1020,2869,11678
ENSG00000004487,1668,1220,1629,1012,1740,3973
ENSG00000004534,1925,1365,2326,1435,2750,2958
ENSG00000004660,68,88,154,71,140,238
ENSG00000004700,513,290,592,652,986,2222
ENSG00000004766,532,329,600,634,948,917
ENSG00000004776,1,0,0,0,2,2
ENSG00000004777,200,166,256,84,50,91
ENSG00000004779,269,252,503,492,905,2759
ENSG00000004799,1,1,2,0,0,0
ENSG00000004809,0,1,1,1,0,0
ENSG00000004838,41,48,39,23,4,24
ENSG00000004864,222,162,181,83,98,431
ENSG00000004866,96,154,190,218,312,415
ENSG00000004897,2100,1858,2552,2092,1593,3289
ENSG00000004939,1,0,0,0,2,0
ENSG00000004961,141,138,250,359,469,769
ENSG00000004975,758,507,1102,675,980,1798
ENSG00000005001,10,0,9,2,0,0
ENSG00000005007,3070,2277,5134,3243,4595,4545
ENSG00000005020,57,26,20,26,19,147
ENSG00000005022,1814,1570,2162,1907,2889,8838
ENSG00000005059,1806,1507,1916,1516,1401,1122
ENSG00000005075,158,112,188,132,203,591
ENSG00000005100,173,122,146,187,842,2424
ENSG00000005102,10,4,8,3,7,13
ENSG00000005108,0,0,4,0,1,0
ENSG00000005156,1177,897,1394,772,1718,2655
ENSG00000005175,452,352,701,641,939,2905
ENSG00000005187,132,131,138,71,46,129
ENSG00000005189,4,3,8,13,6,111
ENSG00000005194,537,464,674,684,1349,2427
ENSG00000005206,806,613,950,499,556,284
ENSG00000005238,76,66,127,142,114,77
ENSG00000005243,19,20,53,19,41,106
ENSG00000005249,18,6,28,34,60,15
ENSG00000005302,3356,2261,5119,3131,3264,1920
ENSG00000005339,9865,8905,14393,9591,7737,3910
ENSG00000005379,692,478,1053,564,620,449
ENSG00000005381,10,13,34,1,3,0
ENSG00000005421,0,0,2,0,0,0
ENSG00000005436,299,300,363,297,1031,1667
ENSG00000005448,255,197,215,211,104,495
ENSG00000005469,105,58,157,66,87,188
ENSG00000005471,0,5,0,1,5,0
ENSG00000005483,16997,14917,28259,17954,12917,4690
ENSG00000005486,3791,3237,6678,4690,2538,508
ENSG00000005513,25,13,51,102,210,68
ENSG00000005700,827,631,949,982,1619,2522
ENSG00000005801,533,374,1046,573,1607,1298
ENSG00000005810,8173,6196,8730,5229,11055,7953
ENSG00000005812,1994,1633,3756,2667,1571,1145
ENSG00000005844,4420,3469,5217,3094,2942,8262
ENSG00000005882,241,219,339,214,139,280
ENSG00000005884,55,59,98,49,103,387
ENSG00000005889,1316,969,2253,1499,1922,1331
ENSG00000005893,681,418,561,764,851,1281
ENSG00000005961,39,24,38,17,17,26
ENSG00000006007,482,436,700,398,333,633
ENSG00000006015,400,317,360,175,131,636
ENSG00000006025,661,633,975,402,343,196
ENSG00000006047,1,0,0,1,0,2
ENSG00000006062,1811,1454,2582,1390,2059,2848
ENSG00000006118,3,1,0,2,0,5
ENSG00000006125,2155,1655,2950,3297,6034,7493
ENSG00000006128,0,0,0,1,2,39
ENSG00000006194,678,501,991,1031,2308,982
ENSG00000006210,0,0,1,0,2,0
ENSG00000006282,361,193,409,181,114,363
ENSG00000006283,4,0,30,5,6,2
ENSG00000006327,12,17,120,241,211,63
ENSG00000006432,635,515,774,337,111,303
ENSG00000006451,533,324,1076,1317,1380,1156
ENSG00000006453,8,12,27,7,22,25
ENSG00000006459,2808,2278,3395,3204,3550,712
ENSG00000006468,0,0,7,3,6,0
ENSG00000006530,424,402,519,472,817,2577
ENSG00000006534,2,2,0,0,0,5
ENSG00000006555,53,47,103,44,43,97
ENSG00000006576,1082,835,1244,748,944,1342
ENSG00000006607,263,218,522,421,596,844
ENSG00000006625,44,35,50,43,141,763
ENSG00000006634,1368,1222,1852,1197,804,1124
ENSG00000006638,9,8,12,9,9,8
ENSG00000006652,3438,2468,5756,4604,3593,2284
ENSG00000006659,9,0,8,3,1,15
ENSG00000006695,221,170,339,276,458,844
ENSG00000006704,16,12,74,137,333,86
ENSG00000006712,1235,1100,2849,2684,2550,2132
ENSG00000006715,604,445,570,413,659,1881
ENSG00000006740,0,0,0,0,1,5
ENSG00000006744,1460,1195,2121,1260,1962,5373
ENSG00000006747,0,1,1,3,5,1
ENSG00000006756,10,13,8,2,6,21
ENSG00000006757,10,32,48,28,49,176
ENSG00000006831,288,194,752,1239,1369,1876
ENSG00000006837,29,25,32,13,23,14
ENSG00000007001,1,0,1,0,0,1
ENSG00000007038,23,14,27,22,19,176
ENSG00000007047,472,407,434,315,352,728
ENSG00000007062,25,10,29,12,12,7
ENSG00000007080,104,175,207,133,314,1870
ENSG00000007129,185,174,249,150,97,144
ENSG00000007168,2250,1775,5246,5260,3879,5171
ENSG00000007171,2,0,12,0,1,0
ENSG00000007174,0,0,1,0,0,0
ENSG00000007202,4054,3145,5592,3374,5454,11111
ENSG00000007216,1,0,0,0,0,0
ENSG00000007237,33,38,46,60,136,13
ENSG00000007255,172,155,182,82,94,87
ENSG00000007264,200,131,173,152,892,1426
ENSG00000007312,37,42,38,19,12,287
ENSG00000007314,3,1,2,0,6,2
ENSG00000007341,477,367,1060,804,757,352
ENSG00000007350,15,26,23,16,19,0
ENSG00000007372,6,0,1,0,0,0
ENSG00000007376,209,137,225,174,157,1197
ENSG00000007384,2,2,13,0,5,3
ENSG00000007392,2529,1715,3514,1871,2758,1459
ENSG00000007402,73,83,124,60,37,21
ENSG00000007516,140,80,191,86,94,6
ENSG00000007520,168,154,293,181,230,1145
ENSG00000007541,215,257,374,242,372,496
ENSG00000007545,198,165,241,162,203,293
ENSG00000007866,5,4,8,3,15,37
ENSG00000007923,615,435,670,424,976,3031
ENSG00000007944,2060,1762,3700,1916,1193,225
ENSG00000007952,6,0,3,3,3,0
ENSG00000007968,35,37,46,16,6,187
ENSG00000008018,1499,1126,1749,1331,2079,4449
ENSG00000008056,7,4,3,7,1,2
ENSG00000008083,1228,960,1625,1485,9339,1941
ENSG00000008086,93,49,163,201,272,80
ENSG00000008118,0,0,0,0,0,4
ENSG00000008128,538,455,655,211,294,198
ENSG00000008130,230,138,355,378,1803,2001
ENSG00000008226,124,92,184,124,173,19
ENSG00000008256,122,99,268,311,371,144
ENSG00000008277,54,47,68,12,17,63
ENSG00000008282,1418,981,1299,1211,905,891
ENSG00000008283,248,198,333,162,161,225
ENSG00000008294,3363,2372,5466,7614,18515,2705
ENSG00000008300,243,188,289,162,366,627
ENSG00000008311,45,43,48,26,19,53
ENSG00000008324,269,271,330,309,274,575
ENSG00000008382,130,102,113,42,43,374
ENSG00000008394,2,0,0,0,2,6
ENSG00000008405,1593,1194,3427,3930,5404,1377
ENSG00000008441,54,66,59,25,219,513
ENSG00000008513,2437,2010,3628,2371,1181,1622
ENSG00000008516,7,14,7,9,5,10
ENSG00000008517,1911,1439,1835,1411,3166,9683
ENSG00000008710,1760,1347,2000,882,906,1892
ENSG00000008735,7,5,11,10,2,13
ENSG00000008838,1190,994,1746,1244,1477,4502
ENSG00000008853,48,70,79,39,22,140
ENSG00000008869,1431,985,1678,1251,1443,1490
ENSG00000008952,2731,2189,3779,3460,3727,2735
ENSG00000008988,31002,28042,35662,33068,28147,21044
ENSG00000009307,23352,19567,28159,21207,20348,22299
ENSG00000009335,1087,886,1491,1385,3902,6412
ENSG00000009413,1257,944,2397,2379,2833,1777
ENSG00000009694,328,246,273,95,49,3
ENSG00000009724,11,13,2,2,3,0
ENSG00000009765,1,0,0,0,0,0
ENSG00000009780,528,473,801,560,285,303
ENSG00000009790,2042,1543,3563,2302,1625,2899
ENSG00000009830,111,85,157,71,164,479
ENSG00000009844,455,400,1131,902,1069,1745
ENSG00000009954,1655,1470,2388,2145,3157,6046
ENSG00000010017,2724,2222,3376,3282,3778,2733
ENSG00000010030,16,11,21,17,103,64
ENSG00000010072,522,519,948,418,334,367
ENSG00000010165,97,61,236,458,938,1954
ENSG00000010219,44,29,132,113,136,361
ENSG00000010244,6987,6169,10619,7446,9402,8623
ENSG00000010256,539,456,631,594,869,3552
ENSG00000010270,366,290,458,530,393,835
ENSG00000010278,6,6,0,17,44,81
ENSG00000010292,725,628,820,523,466,2801
ENSG00000010295,241,236,301,133,155,271
ENSG00000010310,35,31,54,19,46,11
ENSG00000010318,277,241,232,210,66,131
ENSG00000010319,30,10,42,10,5,2
ENSG00000010322,2697,2131,3581,1600,1641,2112
ENSG00000010327,18,13,21,6,12,1
ENSG00000010361,254,232,462,235,129,227
ENSG00000010379,1,5,7,0,3,0
ENSG00000010404,4295,3626,9166,7178,6655,1436
ENSG00000010438,0,0,0,4,0,0
ENSG00000010539,178,127,612,366,440,339
ENSG00000010610,1996,1618,2027,1159,1035,3525
ENSG00000010626,253,234,445,198,72,46
ENSG00000010671,22,8,7,14,11,4
ENSG00000010704,4,2,3,3,0,10
ENSG00000010803,491,426,563,409,615,818
ENSG00000010810,8485,6557,16187,17093,42597,18438
ENSG00000010818,2289,1911,3133,7855,18338,3147
ENSG00000011007,856,788,1507,1344,1871,2804
ENSG00000011009,480,369,723,633,1053,2912
ENSG00000011021,439,359,644,355,356,500
ENSG00000011028,84,41,75,39,63,232
ENSG00000011083,0,1,0,0,0,0
ENSG00000011105,3,4,5,7,8,17
ENSG00000011114,441,395,886,766,773,670
ENSG00000011132,586,436,965,623,938,695
ENSG00000011143,65,33,137,97,85,543
ENSG00000011198,270,138,410,319,267,376
ENSG00000011243,2070,1852,3182,1914,1899,1379
ENSG00000011258,1194,809,1292,774,1263,415
ENSG00000011260,1301,874,1579,1304,2586,3287
ENSG00000011275,3903,3085,5396,3296,3598,2902
ENSG00000011295,1476,1142,2045,1241,1454,1080
ENSG00000011304,4100,3577,8120,6693,12014,27284
ENSG00000011332,3,0,0,1,0,5
ENSG00000011347,0,0,0,0,2,16
ENSG00000011376,432,270,506,396,541,1395
ENSG00000011405,2366,1820,3384,2062,1580,1776
ENSG00000011422,45,58,142,139,126,89
ENSG00000011426,13,23,18,13,0,138
ENSG00000011451,289,252,616,667,1707,1301
ENSG00000011454,1107,835,1473,1276,1733,1123
ENSG00000011478,86,81,332,234,218,215
ENSG00000011485,258,219,438,369,961,4471
ENSG00000011523,1067,819,1248,956,603,158
ENSG00000011566,543,461,549,410,690,482
ENSG00000011590,45,20,129,122,543,1426
ENSG00000011600,24,20,43,15,23,3
ENSG00000011638,190,148,197,168,90,151
ENSG00000012048,26,39,32,16,31,2007
ENSG00000012061,442,396,530,369,601,1607
ENSG00000012124,10,16,5,8,10,2
ENSG00000012171,80,46,55,37,12,4
ENSG00000012174,176,117,168,116,186,256
ENSG00000012211,21,13,34,20,44,274
ENSG00000012223,0,0,0,4,9,0
ENSG00000012232,135,77,276,200,143,765
ENSG00000012660,2129,1635,3597,3117,3044,3934
ENSG00000012779,59,38,84,38,48,9
ENSG00000012817,2301,1731,2535,1637,1255,953
ENSG00000012822,1196,931,1282,796,746,152
ENSG00000012963,240,240,327,441,327,1098
ENSG00000012983,1443,1159,1793,1181,2400,2429
ENSG00000013016,10,14,18,4,9,107
ENSG00000013275,1062,812,1757,1426,2365,5562
ENSG00000013288,1014,838,1471,740,525,646
ENSG00000013297,0,0,1,6,10,3
ENSG00000013306,779,660,1063,621,1564,6627
ENSG00000013364,2037,1674,2283,1315,1223,3223
ENSG00000013374,1926,1697,2255,1302,1080,1396
ENSG00000013375,397,350,726,314,317,471
ENSG00000013392,39,40,33,37,29,28
ENSG00000013441,19956,14722,26762,12415,8296,2066
ENSG00000013503,165,92,258,210,305,1546
ENSG00000013523,237,167,315,213,628,530
ENSG00000013561,244,176,509,544,703,1095
ENSG00000013563,300,172,311,122,113,141
ENSG00000013573,796,612,889,615,682,2255
ENSG00000013583,43,57,92,41,55,169
ENSG00000013588,3,11,9,4,8,5
ENSG00000013619,30,9,40,64,1001,168
ENSG00000013725,12216,9562,18316,13918,16173,18010
ENSG00000013810,1710,1356,2135,1059,637,2124
ENSG00000014123,968,802,1408,1108,823,1113
ENSG00000014138,325,313,599,415,400,2686
ENSG00000014164,280,244,486,343,439,585
ENSG00000014216,773,541,971,463,548,2077
ENSG00000014641,1316,832,1487,1245,1460,3862
ENSG00000014824,794,663,995,906,1114,1671
ENSG00000014914,7,1,1,3,9,28
ENSG00000014919,176,116,209,201,236,769
ENSG00000015133,9360,8030,12386,6572,5258,2333
ENSG00000015153,1523,1248,1773,1060,1009,719
ENSG00000015171,450,452,576,586,1304,1628
ENSG00000015285,864,869,990,554,422,2176
ENSG00000015413,0,0,0,0,0,1
ENSG00000015475,185,130,326,260,440,597
ENSG00000015479,2725,1978,2736,924,1269,431
ENSG00000015520,11,3,20,11,2,4
ENSG00000015532,190,167,210,174,154,618
ENSG00000015568,0,0,0,0,1,0
ENSG00000015592,6,4,3,0,0,1
ENSG00000015676,1015,797,937,599,960,1581
ENSG00000016391,6,6,7,5,10,6
ENSG00000016864,199,202,464,479,435,1027
ENSG00000017260,1645,1279,2363,1816,2164,3238
ENSG00000017427,0,0,0,0,0,6
ENSG00000017483,150,105,107,38,423,5578
ENSG00000017797,211,167,313,474,525,1146
ENSG00000018189,350,270,357,204,198,238
ENSG00000018280,20,10,49,19,39,0
ENSG00000018408,20,12,13,7,6,20
ENSG00000018510,688,536,907,737,1148,3801
ENSG00000018610,340,290,473,426,421,606
ENSG00000018699,280,219,375,432,1171,2622
ENSG00000018869,29,30,142,92,79,59
ENSG00000019102,7,0,6,2,4,1
ENSG00000019144,59,29,264,1049,3801,72
ENSG00000019186,13,0,5,3,5,3
ENSG00000019485,42,53,197,149,143,152
ENSG00000019505,1,0,0,0,0,0
ENSG00000019582,4466,4409,6014,4048,4159,7429
ENSG00000019991,0,0,6,0,5,0
ENSG00000019995,1541,1106,2346,1653,1265,852
ENSG00000020129,146,149,381,249,478,1215
ENSG00000020181,0,1,4,0,4,8
ENSG00000020219,2,0,0,0,0,1
ENSG00000020256,56,40,75,56,63,412
ENSG00000020426,126,128,326,230,316,743
ENSG00000020577,71,65,294,486,2116,455
ENSG00000020633,4947,4511,7531,5924,6661,7681
ENSG00000020922,512,388,742,452,482,1428
ENSG00000021300,219,204,165,187,196,124
ENSG00000021355,1097,881,1251,1070,788,466
ENSG00000021461,0,0,2,4,0,0
ENSG00000021488,6,4,0,8,11,2
ENSG00000021574,231,189,445,527,510,974
ENSG00000021762,89,84,166,35,44,46
ENSG00000021776,2535,1999,4042,2743,3452,4373
ENSG00000021826,3,5,5,0,2,33
ENSG00000022267,632,509,640,395,192,336
ENSG00000022277,854,702,1407,1068,1495,1836
ENSG00000022556,157,114,176,97,108,285
ENSG00000022567,250,211,630,550,497,548
ENSG00000022840,8403,7219,11346,7226,5528,5691
ENSG00000022976,482,384,505,254,256,401
ENSG00000023041,756,620,1154,881,1148,1443
ENSG00000023171,249,188,262,200,415,522
ENSG00000023191,1289,964,1691,1718,3167,4334
ENSG00000023228,906,725,1370,1428,1667,3185
ENSG00000023287,6151,4444,8416,4684,2030,1180
ENSG00000023318,691,602,891,876,1221,1653
ENSG00000023330,196,183,395,424,390,2003
ENSG00000023445,5228,4081,15436,15827,19926,5215
ENSG00000023516,1396,1055,1690,1527,3311,3491
ENSG00000023572,37,19,29,29,22,348
