ENSG,IT01,IT201,IT1H1,IT2H1,IT4H1,IT24H1
ENSG00000000003,16,3,2,0,1,3
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,931,813,670,448,421,515
ENSG00000000457,131,58,204,201,234,295
ENSG00000000460,446,169,517,4292,11239,1864
ENSG00000000938,278,106,151,148,115,36
ENSG00000000971,7,4,10,6,4,6
ENSG00000001036,22,9,8,9,3,45
ENSG00000001084,140,160,166,127,164,354
ENSG00000001167,275,189,200,262,324,246
ENSG00000001460,31,16,33,34,23,128
ENSG00000001461,325,174,253,357,357,571
ENSG00000001497,642,333,226,231,384,434
ENSG00000001561,60,31,15,28,11,51
ENSG00000001617,19,26,5,4,0,1
ENSG00000001626,0,1,2,0,0,7
ENSG00000001629,943,646,821,1235,1263,2010
ENSG00000001630,648,338,285,185,201,873
ENSG00000001631,459,319,388,471,414,862
ENSG00000002016,32,43,62,96,91,230
ENSG00000002079,4,0,2,3,0,1
ENSG00000002330,122,81,95,70,37,66
ENSG00000002549,326,251,329,236,402,662
ENSG00000002586,0,0,0,0,1,0
ENSG00000002586,1,0,2,1,0,0
ENSG00000002587,5,3,6,6,3,6
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,1,0,0,0,0,0
ENSG00000002746,2,1,3,2,0,0
ENSG00000002822,2193,3349,4428,3067,3179,3269
ENSG00000002834,832,609,561,407,269,454
ENSG00000002919,80,49,28,51,45,115
ENSG00000002933,0,0,0,0,0,0
ENSG00000003056,100,61,107,111,140,221
ENSG00000003096,31,35,45,32,16,86
ENSG00000003147,80,17,31,28,15,3
ENSG00000003249,0,3,0,1,1,0
ENSG00000003393,83,52,83,56,84,360
ENSG00000003400,695,488,952,592,451,110
ENSG00000003402,1562,838,1658,3345,3620,2528
ENSG00000003436,11,7,36,48,43,12
ENSG00000003509,301,271,233,147,110,159
ENSG00000003756,1780,1155,1440,1301,983,1303
ENSG00000003987,5,2,7,6,2,2
ENSG00000003989,0,0,1,1,0,2
ENSG00000004059,60,19,15,20,12,18
ENSG00000004139,279,211,163,104,172,570
ENSG00000004142,86,31,39,47,74,211
ENSG00000004399,296,197,159,86,66,55
ENSG00000004455,177,97,180,326,606,1120
ENSG00000004468,123,73,102,146,221,400
ENSG00000004478,114,108,178,105,205,336
ENSG00000004487,1264,1082,461,359,512,398
ENSG00000004534,883,799,1264,2043,2528,2824
ENSG00000004660,49,42,31,33,71,98
ENSG00000004700,210,109,106,134,129,456
ENSG00000004766,392,273,350,541,415,771
ENSG00000004776,0,0,0,0,0,3
ENSG00000004777,14,10,8,10,10,15
ENSG00000004779,106,107,169,219,312,396
ENSG00000004799,2,1,2,0,0,0
ENSG00000004809,22,2,2,5,0,6
ENSG00000004838,3,0,3,1,2,4
ENSG00000004846,2,0,1,4,0,0
ENSG00000004864,561,319,403,462,606,1960
ENSG00000004866,772,688,798,823,980,1255
ENSG00000004897,1307,1037,557,398,321,756
ENSG00000004939,2,0,0,0,0,0
ENSG00000004948,1,0,2,0,0,0
ENSG00000004961,87,22,28,32,28,72
ENSG00000004975,37,25,28,29,31,52
ENSG00000005001,2,0,0,0,0,0
ENSG00000005007,859,761,680,718,893,758
ENSG00000005020,56,34,33,75,87,424
ENSG00000005022,92,22,14,24,39,74
ENSG00000005059,3296,2683,2812,3216,1715,1510
ENSG00000005075,36,20,18,23,22,36
ENSG00000005100,37,21,26,88,190,359
