ENSG chr ENSGStart ENSGEnd O0 O20 O60 O2H O4H O24H N0 N20 N60 N2H N4H N24H
ENSG00000000003 chrX 100627109 100639991 37 17 10 6 2 53 46 12 17 43 25 24
ENSG00000000419 chr20 50934867 50958555 1743 1119 1030 823 835 1856 2737 2112 3362 2036 2173 2196
ENSG00000000457 chr1 169849631 169894267 311 100 304 409 441 706 330 288 1316 812 870 592
ENSG00000000460 chr1 169662007 169854080 604 211 595 4770 12843 2541 407 327 2051 3735 21645 3329
ENSG00000000938 chr1 27612064 27635277 949 290 322 332 454 213 57 60 77 30 50 6
ENSG00000000971 chr1 196651878 196747504 94 22 24 24 17 27 60 61 94 37 43 19
ENSG00000001036 chr6 143494811 143511690 116 30 25 24 19 209 70 51 81 37 31 138
ENSG00000001084 chr6 53497341 53616970 630 316 310 253 404 1124 864 652 1059 532 1317 1550
ENSG00000001167 chr6 41072945 41099976 803 387 481 747 1064 915 960 809 1923 1700 2504 1234
ENSG00000001460 chr1 24356999 24416934 91 34 44 62 37 266 109 95 223 137 109 267
ENSG00000001461 chr1 24415794 24472976 1017 338 439 608 708 1562 1103 906 2039 1185 1216 1271
ENSG00000001497 chrX 65512582 65534775 1663 742 558 677 1147 2116 2126 1581 2330 1206 2481 2484
ENSG00000001561 chr6 46129993 46146699 245 73 62 122 96 441 204 142 293 252 286 481
ENSG00000001617 chr3 50155045 50189075 41 30 13 17 10 1 107 83 77 12 8 0
ENSG00000001626 chr7 117465784 117715971 0 1 2 0 0 8 0 1 0 1 7 6
ENSG00000001629 chr7 92246234 92401384 2115 1028 1161 1703 2042 3811 3044 2403 4352 2865 4427 3134
ENSG00000001630 chr7 92112151 92142952 680 356 306 208 222 939 981 658 940 613 627 1597
ENSG00000001631 chr7 92198969 92246166 1258 636 814 1177 1067 2523 1953 1499 3223 2274 3004 2732
ENSG00000002016 chr12 912077 990053 134 86 112 182 189 422 184 148 477 349 290 514
ENSG00000002079 chr7 99238794 99311130 4 0 2 6 0 1 3 2 4 0 1 0
ENSG00000002330 chr11 64269830 64284704 528 191 225 162 102 273 411 345 623 219 167 335
ENSG00000002746 chr7 43112599 43566001 6 1 4 2 0 0 1 11 4 1 7 0
ENSG00000002822 chr7 1815793 2233243 3002 3681 4866 3575 3723 4051 7909 5943 11963 4279 6423 2947
ENSG00000002834 chr17 38869859 38921770 3051 1289 1549 1323 907 2690 2556 2283 3717 2410 1604 3224
ENSG00000002919 chr17 48103357 48123074 305 111 155 208 247 1028 295 209 382 295 476 900
ENSG00000002933 chr7 150800403 150805120 31 16 6 12 0 2 0 2 2 10 4 0
ENSG00000003096 chrX 117897813 118117340 35 36 47 32 17 98 111 47 75 65 32 42
ENSG00000003147 chr7 8113184 8262687 110 23 40 34 17 3 92 91 239 107 108 15
ENSG00000003249 chr16 90004865 90020128 16 3 0 4 2 9 24 23 10 20 13 39
ENSG00000003393 chr2 201700554 201781189 237 96 141 140 179 1044 473 389 837 447 623 853
ENSG00000003400 chr2 201182881 201229406 1507 812 1445 1216 1012 242 2074 1468 3743 2103 2321 280
ENSG00000003402 chr2 201116104 201176687 6131 2581 4007 9619 13518 13084 7808 5984 13772 9897 20551 11183
ENSG00000003436 chr2 187464230 187565760 49 13 57 73 66 21 13 5 45 12 36 1
ENSG00000004059 chr7 127588345 127591705 1231 319 344 288 363 826 718 567 996 795 733 1398
ENSG00000004139 chr17 28364356 28404049 662 404 320 244 304 1347 1283 864 1343 512 648 1535
ENSG00000004142 chr17 28347177 28357522 735 211 230 280 527 3236 753 635 863 684 967 3815
ENSG00000004399 chr3 129555175 129606818 1396 664 681 495 370 284 1356 1148 1848 784 473 166
ENSG00000004455 chr1 33007940 33080996 755 210 320 647 1423 5868 578 577 1100 936 3131 6170
ENSG00000004468 chr4 15778275 15853230 384 123 142 183 303 687 501 355 765 446 1029 598
ENSG00000004478 chr12 2794953 2805423 481 365 718 866 1734 8501 645 557 1374 1161 3293 12097
ENSG00000004487 chr1 23019448 23083689 2645 1684 1078 858 1352 2164 4275 2968 2885 1534 2960 4468
ENSG00000004534 chr3 49940007 50100045 2479 1512 2088 2888 3755 5572 3853 2792 6222 3831 7552 4380
ENSG00000004660 chr17 3860315 3894891 140 85 67 95 139 286 127 138 298 117 250 363
ENSG00000004766 chr7 93232340 93361121 777 454 514 789 783 1818 1571 929 2364 1453 2007 1356
ENSG00000004779 chr16 23581002 23596356 388 197 257 415 622 3046 654 570 1173 865 1621 3172
ENSG00000004864 chr7 96120220 96322147 840 412 492 508 700 2516 872 553 823 452 1000 1213
ENSG00000004866 chr7 116953238 117230103 932 796 867 926 1123 1565 1729 1354 2802 1053 2248 1043
ENSG00000004961 chrX 11111301 11123078 291 68 82 124 202 677 200 183 365 454 588 836
ENSG00000004975 chr17 7225341 7234545 640 191 268 361 551 1517 848 599 1222 716 1044 1848
ENSG00000005001 chr16 2852727 2858170 7 0 0 3 0 0 12 0 10 2 0 0
ENSG00000005007 chr19 18831938 18868236 2646 1700 2068 2644 3566 4462 5736 4196 7448 4320 6581 5196
ENSG00000005020 chr7 26667062 26995239 296 89 58 93 113 723 77 43 92 72 108 267
ENSG00000005022 chrX 119468400 119471319 4054 1051 803 978 1230 7784 1859 1602 2222 1941 2971 8914
ENSG00000005059 chr4 109560205 109688726 6418 3434 3346 3729 2148 2668 8583 6334 12388 6020 4638 1920
ENSG00000005075 chr7 102473118 102478907 405 102 95 88 113 527 217 156 234 159 239 610
ENSG00000005100 chr17 5440912 5469060 228 85 82 247 730 2212 231 158 220 295 1244 2739
ENSG00000005102 chr17 43640388 43661954 23 1 9 6 3 19 19 9 15 10 11 16
ENSG00000005108 chr7 11370357 11832198 5 3 8 10 0 0 4 4 22 10 10 1
ENSG00000005156 chr17 34980494 35009743 890 474 442 558 878 2972 1782 1355 1875 990 2193 2906
ENSG00000005175 chr12 47661249 47706061 709 314 310 413 559 2670 1095 774 1469 984 1477 3356
ENSG00000005187 chr16 20610243 20797581 336 122 114 88 46 85 208 196 234 102 104 150
