ENSG ENSGchr ENSGstart ENSGend GeneName ET0_a ET20_a ET1H_a ET2H_a ET4H_a ET24H_a
ENSG00000000003 chrX 100627109 100639991 TSPAN6 5.10991806255446 4.37564874011081 3.73709314426783 4.31565628871454 3.10664099404493 4.82988367689162
ENSG00000000419 chr20 50934867 50958555 DPM1 10.7946594024536 11.0461744121837 10.7765263815112 10.5570176234969 10.4319179070122 10.5988219209083
ENSG00000000457 chr1 169849631 169894267 SCYL3 8.03004663219945 7.8724837193602 9.22131441788135 9.39071239943087 9.31233960241798 8.9579585840048
ENSG00000000460 chr1 169662007 169854080 C1orf112 8.65830692675751 8.50043322627629 10.0247520902728 12.2615659547593 14.0606197472803 11.1252453434318
ENSG00000000938 chr1 27612064 27635277 FGR 7.57977664383161 7.51602703858734 7.23193505430945 6.88757161549014 7.29165459610397 4.91957138438386
ENSG00000000971 chr1 196651878 196747504 CFH 5.95608446654741 5.68320753561346 5.51571314225398 5.1562865592931 4.84355231963439 4.20132330614918
ENSG00000001036 chr6 143494811 143511690 FUCA2 6.21510957717078 5.77558521677286 5.43942718618598 5.1562865592931 4.69365796792959 7.03768013567582
ENSG00000001084 chr6 53497341 53616970 GCLC 9.23043058736746 9.28786354374218 9.07891364926133 8.74043730146716 9.54791654923018 9.98625382352036
ENSG00000001167 chr6 41072945 41099976 NFYA 9.48106201132103 9.58926633028474 9.82505417324271 10.3571620322833 10.7088288321785 9.67373924655709
ENSG00000001460 chr1 24356999 24416934 STPG1 6.35667771905366 6.30661791350413 6.55983085529008 6.75748885505555 6.04645114475085 7.68359257345917
ENSG00000001461 chr1 24415794 24472976 NIPAL3 9.75130333802588 9.57334217954098 9.80144034962055 9.94867386908552 9.89460468348576 10.0803617348383
ENSG00000001497 chrX 65512582 65534775 LAS1L 10.5786622606071 10.5412160301711 10.0704068664233 10.0387981354045 10.7563267015559 10.7821745864295
ENSG00000001561 chr6 46129993 46146699 ENPP4 7.51350777912182 7.13935350144886 6.99991257486995 7.67899367795648 7.41633521674245 8.46991540053177
ENSG00000001617 chr3 50155045 50189075 SEMA3F 5.77932957295856 6.12147818258252 4.94711042710554 4.14715330714536 3.36053372032465 0.398360538440087
ENSG00000001626 chr7 117465784 117715971 CFTR 0 1.26657663403404 1.07235682673039 0.449188128836611 1.28804010899733 2.6606274957616
ENSG00000001629 chr7 92246234 92401384 ANKIB1 11.0107694305074 11.0780911455173 11.0489274091276 11.3275657507163 11.5897230666373 11.3739786930244
ENSG00000001630 chr7 92112151 92142952 CYP51A1 9.37690567028173 9.38030322474363 8.98374406776539 8.70157671139032 8.58249441146899 9.87823356609928
ENSG00000001631 chr7 92198969 92246166 KRIT1 10.3163101804411 10.3917113999605 10.576423166162 10.8946288037844 10.8421160920931 10.9776135149171
ENSG00000002016 chr12 912077 990053 RAD52 7.00710674712492 7.28644219047759 7.77320145661201 8.20026718052067 7.91246210619415 8.48599276483117
ENSG00000002079 chr7 99238794 99311130 MYH16 1.93772887116148 0.78832904115815 1.88261788254507 1.68883979105143 0.386586636507855 0.398360538440087
ENSG00000002330 chr11 64269830 64284704 BAD 8.5685326450946 8.46732242353049 8.46647214833407 7.78187217274375 7.07420470491385 7.86521365927671
ENSG00000002549 chr4 17577192 17607972 LAP3 10.0803581912872 10.0883680639499 10.2347109473843 10.1143152779949 10.9292870301289 11.5082634216067
ENSG00000002746 chr7 43112599 43566001 HECW1 1.7237409942081 2.55645432808042 2.29606407017967 1.47249208197365 1.28804010899733 0
ENSG00000002822 chr7 1815793 2233243 MAD1L1 11.9518589451258 12.6509517903208 12.8115463306832 12.1516295307787 12.2912443467337 11.3736569258661
ENSG00000002834 chr17 38869859 38921770 LASP1 11.148979393335 11.2042856758654 11.1431057068114 11.0208147356197 10.2726937614475 11.1432191824499
ENSG00000002919 chr17 48103357 48123074 SNX11 7.93550859424063 7.71705857263659 7.84706005096383 8.17545462118489 8.46101015612702 9.53021844518712
ENSG00000002933 chr7 150800403 150805120 TMEM176A 2.39758725806149 3.27713011226107 2.26033611820087 3.78776904508742 0.969819961265075 0.65350933385094
ENSG00000003056 chr12 8940363 8949955 M6PR 9.24872618682581 8.92126429545048 9.57096147911022 10.140382555551 11.0638582719167 11.7911207863451
ENSG00000003096 chrX 117897813 118117340 KLHL13 5.69474521106576 5.84730519493507 5.83286336954069 5.75608466959296 4.63825210048987 5.65316243132079
ENSG00000003147 chr7 8113184 8262687 ICA1 6.37115891479738 5.99919194622404 6.54159350644619 6.15356400588211 5.49394263966176 2.6913816430152
ENSG00000003249 chr16 90004865 90020128 DBNDD1 4.08211145532615 3.66074295985596 1.31463836661608 3.52632090865158 2.66964283702626 3.97027380711159
ENSG00000003393 chr2 201700554 201781189 ALS2 8.09369441360449 8.05939037283112 8.34289829746247 8.1897687065627 8.42311332814585 9.50271013060929
ENSG00000003400 chr2 201182881 201229406 CASP10 10.4898081133401 10.5527450783739 11.0980170445775 10.8617688470705 10.6179959023158 7.64988323069135
ENSG00000003402 chr2 201116104 201176687 CFLAR 12.4575465811133 12.3998703399838 12.7730221603302 13.4702684625486 14.0601574927353 13.1809857496386
ENSG00000003436 chr2 187464230 187565760 TFPI 4.44449348522928 3.63157233591193 5.61392704060997 5.17801310330245 5.67753656335677 2.44510935085151
ENSG00000003509 chr2 37231631 37253403 NDUFAF7 9.5948577150189 9.88613764407689 9.85942296086012 9.41474045439083 9.19449439155878 8.9689952004901
ENSG00000003756 chr3 50088908 50119021 RBM5 12.3274327371594 12.5692610371957 12.7927754155457 12.7685322974232 12.4266917798342 11.6983322897716
ENSG00000004059 chr7 127588345 127591705 ARF5 9.57968529151394 9.19407364045226 9.10969008442384 9.12292828944382 9.04878902179821 9.68996460751015
ENSG00000004139 chr17 28364356 28404049 SARM1 9.55095938729157 9.66762473282054 9.27287419219487 8.68679613249128 8.83237176297643 10.1096546624396
ENSG00000004142 chr17 28347177 28357522 POLDIP2 9.24240752069836 8.97808945276607 8.71673103143208 8.99434379676109 9.51680491402107 11.3978328655027
ENSG00000004399 chr3 129555175 129606818 PLXND1 10.128373051055 10.230473998585 10.0469382973663 9.50290444108287 8.74731611480208 7.38980828800391
ENSG00000004455 chr1 33007940 33080996 AK2 9.07133175858803 8.90569348611881 9.12912468321387 9.8235093489178 11.0795453256286 12.1737293715007
ENSG00000004468 chr4 15778275 15853230 CD38 8.4818339390554 8.17150858331105 8.28324727028942 8.38059555879634 9.16300861132585 8.94557669498179
ENSG00000004478 chr12 2794953 2805423 FKBP4 8.82568680141107 9.27828171940297 9.87153885144867 10.1888511703999 11.2584416104334 12.9266413931391
ENSG00000004487 chr1 23019448 23083689 KDM1A 11.4168842283495 11.5862433823776 10.6990587309847 10.3829519836778 11.0021486315197 11.2216655437742
ENSG00000004534 chr3 49940007 50100045 RBM6 11.295203672717 11.4644713040127 11.7298970453847 11.9179704162653 12.4141989371069 11.8892913616694
ENSG00000004660 chr17 3860315 3894891 CAMKK1 6.77327972106775 7.22794602063343 7.06748284425426 6.94995757784173 7.58523042859986 7.95630582648799
ENSG00000004700 chr12 21468911 21501669 RECQL 9.23357957932358 9.06253595632582 8.94186509960791 9.43954356153709 9.56262654377085 10.9665952754565
ENSG00000004766 chr7 93232340 93361121 VPS50 9.81226101490168 9.80395501411017 10.0216645540432 10.2834211620292 10.3282895835801 10.2364045778479
ENSG00000004777 chr19 35774532 35788822 ARHGAP33 7.60513367457081 7.65129373427017 7.16657410253796 6.85250275414278 5.92908555642395 6.0063562823885
ENSG00000004779 chr16 23581002 23596356 NDUFAB1 8.68108756899844 8.85092597409976 9.01756640903481 9.44674867295767 10.0084439118838 11.2211066704513
ENSG00000004809 chr6 110424687 110476641 SLC22A16 2.83042916222066 2.12885216984447 1.37378275810989 2.49344455419881 0.386586636507855 1.31146979000394
ENSG00000004838 chr3 50341110 50346852 ZMYND10 4.66469503085711 4.5425559897352 4.8045244276653 4.20690756022698 2.74492034998441 4.52696563806733
ENSG00000004864 chr7 96120220 96322147 SLC25A13 9.44425673882312 9.36034808212975 9.23011304389489 9.12509584574631 9.74552419075155 10.3903347614626
ENSG00000004866 chr7 116953238 117230103 ST7 10.0123626589078 10.4801283757252 10.5209842978515 10.1667817202795 10.6699846660574 9.93928721741407
ENSG00000004897 chr17 47117703 47189422 CDC27 11.5970509791069 11.6728126890813 11.0685577925385 10.9409102774474 10.4824694896166 11.4387695658982
ENSG00000004961 chrX 11111301 11123078 HCCS 7.62289700147284 7.27038644230984 7.35751272368725 8.11382794311773 8.46839146272376 9.17627050511915
ENSG00000004975 chr17 7225341 7234545 DVL2 9.22830697330556 8.86440999063078 9.07720472275134 9.21018851231198 9.60407886034896 10.3290725112271
ENSG00000005001 chr16 2852727 2858170 PRSS22 3.08214714666085 0 1.31463836661608 1.97900577015539 0 0
ENSG00000005007 chr19 18831938 18868236 UPF1 11.6291609283081 11.8427526401909 11.8526567933698 11.9409413333308 12.2776966090297 11.8522856039794
ENSG00000005020 chr7 26667062 26995239 SKAP2 6.95404492999845 6.43126099267625 6.12690069386992 6.58889582684293 6.83650392737954 8.40256001842926
ENSG00000005022 chrX 119468400 119471319 SLC25A5 11.1244012855141 10.8017143650491 10.2985374012826 10.6469513183143 10.9366403666088 12.6428659781207
ENSG00000005059 chr4 109560205 109688726 MCUB 12.5587947534029 12.6468105133051 12.5666142900894 12.4282354744516 11.6597931359178 10.7636156890953
ENSG00000005075 chr7 102473118 102478907 POLR2J 7.91902352424628 7.44656025423004 7.14439026398406 7.1145188360435 7.40437868409566 8.76905685946758
ENSG00000005100 chr17 5440912 5469060 DHX33 7.55101180026208 7.32491129340243 6.99480986573587 8.29906962099731 9.93306034253228 10.8846186522334
ENSG00000005102 chr17 43640388 43661954 MEOX1 4.17013771038062 2.42504144803842 3.5849477863672 3.32333161162453 2.79095406382641 3.84657158076362
ENSG00000005108 chr7 11370357 11832198 THSD7A 2.21615883904584 2.53021657363998 3.75510893860358 3.66350599870985 1.50809190126562 0.423782007587959
ENSG00000005156 chr17 34980494 35009743 LIG3 10.0009061301798 10.1070424361563 9.74592056049091 9.75728391237037 10.4747162873914 11.1402207458126
ENSG00000005175 chr12 47661249 47706061 RPAP3 9.48618393257669 9.4068463062615 9.31461361961946 9.53613177127385 9.86445290778349 11.1667731728048
ENSG00000005187 chr16 20610243 20797581 ACSM3 7.75434656592989 7.73881849950511 7.27517198540737 6.79719739375989 6.16754241494792 6.45507922388386
ENSG00000005189 chr16 20806429 20849668 REXO5 3.19607951256936 3.48968890743211 3.62634968172125 3.59551168157616 2.59134301075804 6.9514900820408
ENSG00000005194 chr16 57428169 57447528 CIAPIN1 9.21471071522531 9.03444381590819 8.93579459256814 9.67346055926614 10.2012849476973 10.8908342518002
ENSG00000005206 chr19 2328615 2354806 SPPL2B 9.50842895873053 9.68571880262645 9.63911497343985 9.27827105982993 9.24854712368505 8.26239600493158
ENSG00000005238 chr9 35104112 35116341 FAM214B 6.77339536387185 6.77821818074384 7.04166840738486 7.26821850772732 7.07464909980699 6.22451996752587
ENSG00000005243 chr17 48026167 48038030 COPZ2 3.88849540466664 4.38713602724529 4.18453157899248 2.50231382072915 2.8509100876891 5.3348463929205
ENSG00000005249 chr7 107044649 107161811 PRKAR2B 6.83685825878146 5.53097676256767 6.73824024265261 6.73251509482306 6.67850256963431 4.64732878758181
ENSG00000005302 chrX 11758159 11775753 MSL3 11.320678091838 11.4032229827174 11.5699925365934 11.5156474255731 11.4229157366308 10.3419130575581
ENSG00000005339 chr16 3725054 3880726 CREBBP 13.6703488487178 13.7823152479043 13.6656947214177 13.5296368984504 13.1099465152937 11.8517565762515
ENSG00000005379 chr17 58301228 58328760 TSPOAP1 9.40970839539876 9.37085609900595 9.25175303261429 9.35659569894322 9.18902146466677 9.68444532652015
ENSG00000005381 chr17 58269856 58280935 MPO 4.65456378514109 4.72424468752519 4.12446139028304 2.70843499318339 2.35809642763413 0
ENSG00000005436 chr2 75652000 75710989 GCFC2 9.07533552709065 8.97611961285863 8.60174882155994 9.11046833028944 10.310085351522 10.7575364448785
ENSG00000005448 chr2 74421678 74425755 WDR54 7.73214261565673 7.40167241912189 6.85722739972929 6.95756831078723 6.14950961120073 8.26727251339567
ENSG00000005469 chr7 87345681 87399795 CROT 7.33728683702238 7.08035098539649 7.26656565098489 6.62341483483072 6.52972957465504 8.01769334797167
ENSG00000005471 chr7 87401697 87480435 ABCB4 1.90112820912435 4.23649932602854 2.89962730604065 3.76020773542562 3.41774062076526 0.8416113976471
ENSG00000005483 chr7 105014179 105114361 KMT2E 14.5532299585146 14.588570276392 14.6297493072807 14.4443591297343 13.8122906892355 12.2521207947787
ENSG00000005486 chr7 75842602 75888926 RHBDD2 12.1482726461476 12.0852885590925 12.1277517743096 11.950226097245 10.9746840999542 8.74055162592342
ENSG00000005513 chr16 981808 986979 SOX8 3.91859927097149 4.00549416401943 4.78468763653187 6.07168794682103 6.97819675142851 5.73342273233304
ENSG00000005700 chr6 82169983 82247754 IBTK 9.94976119137352 9.86610591636667 9.51967415476754 9.99340734146611 10.4106453695589 11.1303847138092
ENSG00000005801 chr11 3339261 3379222 ZNF195 9.18316294046378 9.28275209972298 9.82236071428895 9.96045327555137 10.8164942511428 10.6470675842001
ENSG00000005810 chr13 77044655 77327050 MYCBP2 13.32401785495 13.4023392687259 13.0372555702589 13.1522575713242 13.8277540292588 13.2953407164212
ENSG00000005812 chr13 76992598 77027195 FBXL3 11.4164875696767 11.5034829094296 11.4758838059323 11.2881191282059 10.6672580406179 10.0357734011447
ENSG00000005844 chr16 30472658 30523185 ITGAL 12.1657855566093 12.0419342477861 11.766436490854 11.5283609425882 11.059770217968 12.6327352779022
ENSG00000005882 chr17 50094737 50112152 PDK2 7.94943210556412 7.65931397662137 7.42152273363548 7.21627398440313 6.57757306050536 7.73738711157241
ENSG00000005884 chr17 50055968 50090481 ITGA3 5.91887662410927 6.10906949981621 6.40534820872741 6.22032296467934 6.91195885316987 8.07477549296281
ENSG00000005889 chrX 24149173 24216255 ZFX 11.2974850538933 11.3388770139599 11.5587287535343 11.3764458884787 11.5992639110147 10.9316929124141
ENSG00000005893 chrX 120427827 120469365 LAMP2 9.91520107948542 9.44456263243659 9.22261179540401 9.34562029923711 9.40179463884333 9.97608859392437
ENSG00000005961 chr17 44372180 44389505 ITGA2B 7.12359991312236 6.03720879837856 5.28112859614932 4.3429172117485 4.66847276229408 4.69013170093712
ENSG00000006007 chr16 19501689 19522145 GDE1 9.3458629150392 9.14032922735064 8.68230954593258 8.43078383251854 8.14829921255549 8.95823349258069
ENSG00000006015 chr19 18588685 18592336 REX1BD 8.79965866391655 8.20510846183731 7.74750745617856 7.3841625439695 6.70090842672001 8.52064916421774
ENSG00000006016 chr19 18572220 18607741 CRLF1 6.16956304633394 5.83564840947024 6.41765058708426 5.67368672655086 5.63799240512556 4.62189355275877
ENSG00000006025 chr17 47807372 47821834 AC003665.1 9.0811683610813 9.31471321052285 9.23197482267842 8.64472241113505 8.22829792514598 7.13670044569087
