seqnames	start	end
chr1	181354	181576
chr1	191331	191547
chr1	778234	779367
chr1	817253	817413
chr1	819938	820257
chr1	821439	821867
chr1	827290	827777
chr1	840987	841255
chr1	841414	841716
chr1	841844	842007
chr1	843483	843750
chr1	844077	844627
chr1	858124	858435
chr1	869646	870320
chr1	904656	904840
chr1	959194	959886
chr1	960528	961016
chr1	966377	967093
chr1	975988	976499
chr1	984284	984405
chr1	999291	999403
chr1	999952	1000663
chr1	1012932	1014523
chr1	1019223	1020331
chr1	1032896	1033499
chr1	1040483	1040896
chr1	1059166	1059891
chr1	1063920	1064611
chr1	1068759	1068972
chr1	1069266	1069663
chr1	1079475	1080236
chr1	1098916	1099911
chr1	1115874	1116898
chr1	1122037	1122502
chr1	1137378	1138022
chr1	1143885	1144665
chr1	1157501	1158415
chr1	1191409	1191555
chr1	1201083	1201767
chr1	1208079	1208638
chr1	1213939	1214218
chr1	1231433	1232651
chr1	1250657	1251169
chr1	1273288	1274410
chr1	1305468	1305812
chr1	1307690	1309014
chr1	1324414	1325180
chr1	1349010	1349942
chr1	1371341	1372275
chr1	1375198	1375671
chr1	1398966	1399981
chr1	1406832	1407945
chr1	1440867	1441327
chr1	1462608	1462745
chr1	1471215	1471909
chr1	1495961	1496125
chr1	1504808	1505862
chr1	1511337	1512384
chr1	1554781	1554949
chr1	1574362	1575358
chr1	1599781	1600074
chr1	1614298	1616358
chr1	1628895	1629815
chr1	1629900	1630809
chr1	1658787	1659515
chr1	1665830	1665944
chr1	1677734	1679113
chr1	1692403	1693332
chr1	1693947	1694070
chr1	1724107	1724780
chr1	1746204	1746532
chr1	1748644	1748867
chr1	1778256	1779279
chr1	1779922	1780619
chr1	1855897	1856070
chr1	1890036	1891885
chr1	1908681	1909662
chr1	1919261	1919868
chr1	2044766	2045219
chr1	2049978	2050694
chr1	2126727	2126883
chr1	2126901	2127212
chr1	2127263	2127379
chr1	2132854	2133854
chr1	2139872	2140111
chr1	2146354	2146842
chr1	2148796	2149086
chr1	2153006	2153336
chr1	2174420	2174721
chr1	2189454	2189893
chr1	2194571	2195545
chr1	2199059	2199592
chr1	2205260	2205786
chr1	2212545	2212938
chr1	2227466	2229368
chr1	2231702	2232262
chr1	2234404	2234933
chr1	2237308	2237476
chr1	2255446	2256444
chr1	2259076	2259367
chr1	2284569	2284718
chr1	2290231	2291173
chr1	2300335	2301510
chr1	2311610	2311819
chr1	2315240	2315367
chr1	2381713	2382311
chr1	2391299	2392355
chr1	2412126	2413043
chr1	2523469	2524171
chr1	2525990	2527066
chr1	2546105	2549148
chr1	2554954	2555472
chr1	2555641	2556783
chr1	2556790	2556942
chr1	2577534	2578937
chr1	2584093	2584675
chr1	2585371	2586646
chr1	2642394	2643373
chr1	2654205	2654448
chr1	2654572	2654854
chr1	2683984	2684318
chr1	2786680	2786842
chr1	2822154	2822285
chr1	2840088	2840689
chr1	2894551	2894909
chr1	3032990	3033522
chr1	3439605	3439783
chr1	3453232	3453417
chr1	3453454	3453586
chr1	3491195	3491424
chr1	3530952	3531842
chr1	3619033	3619413
chr1	3624526	3625542
chr1	3649682	3650440
chr1	3692111	3692300
chr1	3747130	3747549
chr1	3772010	3772934
chr1	3787423	3787873
chr1	3796071	3797049
chr1	3801572	3801724
chr1	3825842	3826028
chr1	3856670	3857878
chr1	3900071	3901443
chr1	3902367	3902915
chr1	3922209	3922602
chr1	3987788	3987943
chr1	4409030	4409192
chr1	4594383	4594588
chr1	4672379	4672511
chr1	4710878	4711081
chr1	4762922	4763043
chr1	5223079	5223354
chr1	5329082	5329207
chr1	5351335	5351546
chr1	5388982	5389485
chr1	5509871	5510088
chr1	5599019	5599186
chr1	5666973	5667082
chr1	5856140	5856261
chr1	5991991	5992919
chr1	6026015	6028590
chr1	6148736	6148858
chr1	6199003	6200042
chr1	6205903	6206553
chr1	6209676	6209820
chr1	6235372	6236297
chr1	6246616	6246985
chr1	6260060	6260203
chr1	6260652	6261396
chr1	6348082	6348977
chr1	6358798	6359433
chr1	6359450	6359611
chr1	6359674	6359980
chr1	6364988	6365517
chr1	6376347	6376498
chr1	6393177	6394302
chr1	6404769	6405069
chr1	6423553	6423895
chr1	6438104	6438405
chr1	6440328	6440628
chr1	6448118	6448366
chr1	6454594	6454774
chr1	6454879	6455255
chr1	6459729	6460873
chr1	6465456	6466296
chr1	6475461	6475920
chr1	6486556	6486733
chr1	6489953	6490858
chr1	6497280	6497783
chr1	6544992	6545775
chr1	6553954	6554765
chr1	6579645	6580443
chr1	6599743	6599932
chr1	6600983	6601684
chr1	6602234	6603899
chr1	6613041	6613973
chr1	6624886	6625976
chr1	6656896	6657091
chr1	6657105	6657318
chr1	6701418	6702218
chr1	6720122	6720243
chr1	6727605	6727725
chr1	6740733	6740858
chr1	6784435	6785971
chr1	6903009	6903133
chr1	6963461	6963610
chr1	7127958	7128110
chr1	7667628	7667949
chr1	7680453	7680726
chr1	7704142	7704928
chr1	7726707	7726830
chr1	7752551	7752888
chr1	7752925	7753345
chr1	7770771	7771676
chr1	7771974	7772100
chr1	7783847	7784620
chr1	7827514	7827656
chr1	7874385	7874518
chr1	7902739	7902984
chr1	7912274	7912728
chr1	7913051	7913447
chr1	7915960	7916571
chr1	7920616	7920827
chr1	7930552	7931484
chr1	7940703	7941310
chr1	7948745	7949546
chr1	7953886	7954863
chr1	7960876	7962353
chr1	7982403	7982737
chr1	8015089	8015250
chr1	8025793	8026647
chr1	8046685	8046811
chr1	8096858	8097684
chr1	8152577	8153564
chr1	8169644	8170117
chr1	8182229	8182866
chr1	8182930	8183091
chr1	8209631	8209825
chr1	8217377	8217542
chr1	8317888	8318661
chr1	8329586	8329721
chr1	8349030	8349209
chr1	8382204	8382324
chr1	8383038	8383397
chr1	8384624	8384776
chr1	8394888	8395874
chr1	8396736	8397315
chr1	8409004	8409679
chr1	8423395	8424787
chr1	8430948	8431498
chr1	8449225	8449387
chr1	8472591	8473078
chr1	8492898	8493154
chr1	8495856	8496385
chr1	8496533	8496656
chr1	8509769	8510775
chr1	8516990	8517453
chr1	8517694	8518001
chr1	8525141	8526369
chr1	8533023	8533811
chr1	8540559	8540879
chr1	8551728	8551851
chr1	8560663	8561443
chr1	8563868	8564113
chr1	8590215	8590336
chr1	8602952	8603087
chr1	8603769	8603887
chr1	8604035	8604539
chr1	8623761	8623882
chr1	8629837	8630053
chr1	8651176	8651518
chr1	8661760	8662103
chr1	8669737	8669946
chr1	8670296	8670470
chr1	8671286	8671497
chr1	8679116	8679642
chr1	8701087	8701935
chr1	8703346	8703501
chr1	8719076	8719242
chr1	8726503	8726641
chr1	8742221	8742407
chr1	8817174	8818600
chr1	8829507	8830007
chr1	8848927	8849155
chr1	8859492	8859758
chr1	8862613	8862945
chr1	8873666	8873900
chr1	8877910	8879521
chr1	8880125	8880260
chr1	8889583	8889713
chr1	8899614	8900583
chr1	8917995	8918847
chr1	8920775	8920983
chr1	8926123	8927725
chr1	8938697	8938849
chr1	8946497	8947155
chr1	8957020	8957292
chr1	8958974	8959141
chr1	8962722	8963211
chr1	8969627	8970196
chr1	8970391	8971736
chr1	8983761	8983943
chr1	8987733	8988360
chr1	9005042	9005457
chr1	9122048	9122537
chr1	9128636	9129265
chr1	9129469	9130033
chr1	9142368	9142477
chr1	9181276	9181720
chr1	9202798	9203029
chr1	9203709	9203892
chr1	9234233	9235332
chr1	9239795	9240064
chr1	9267130	9267331
chr1	9275646	9275862
chr1	9289811	9290169
chr1	9292586	9293716
chr1	9294487	9294629
chr1	9315505	9315760
chr1	9316322	9316434
chr1	9390029	9390185
chr1	9400362	9400770
chr1	9413242	9413689
chr1	9426122	9426887
chr1	9428647	9429285
chr1	9495070	9495695
chr1	9538966	9540140
chr1	9546696	9546996
chr1	9558306	9558511
chr1	9559585	9559987
chr1	9588329	9589735
chr1	9615648	9616036
chr1	9626995	9627622
chr1	9628988	9630668
chr1	9643750	9644067
chr1	9651658	9652724
chr1	9653569	9654272
chr1	9654839	9655523
chr1	9671252	9671744
chr1	9686407	9687780
chr1	9689295	9689571
chr1	9691221	9691353
chr1	9697669	9697793
chr1	9704510	9704655
chr1	9714327	9714651
chr1	9715618	9715729
chr1	9717347	9718045
chr1	9728286	9729250
chr1	9784563	9784745
chr1	9787448	9788125
chr1	9800064	9800450
chr1	9823185	9824764
chr1	9825357	9825850
chr1	9850238	9850609
chr1	9867434	9867761
chr1	9874813	9875174
chr1	9904040	9904193
chr1	9909857	9911243
chr1	9942462	9943908
chr1	9950354	9950859
chr1	9997731	9998057
chr1	10001120	10001276
chr1	10032439	10033697
chr1	10074511	10074635
chr1	10085130	10085285
chr1	10091886	10092035
chr1	10170233	10170692
chr1	10209918	10210984
chr1	10253894	10254084
chr1	10308092	10308204
chr1	10398363	10399598
chr1	10428165	10428285
chr1	10429976	10431155
chr1	10472110	10472800
chr1	10474833	10475460
chr1	10494594	10496344
chr1	10507474	10507700
chr1	10510639	10511599
chr1	10544344	10544509
chr1	10638439	10638900
chr1	10693768	10695262
chr1	10756019	10756142
chr1	10866899	10867523
chr1	10874281	10874473
chr1	10910099	10910225
chr1	10917934	10918294
chr1	10940449	10940650
chr1	10961113	10961290
chr1	11011968	11013351
chr1	11019536	11019683
chr1	11037681	11038217
chr1	11059582	11061051
chr1	11099215	11100196
chr1	11156910	11157447
chr1	11241818	11242118
chr1	11262195	11262964
chr1	11272784	11272927
chr1	11273168	11273727
chr1	11281003	11281368
chr1	11337658	11337867
chr1	11376737	11376894
chr1	11383931	11384488
chr1	11478814	11479062
chr1	11645782	11646091
chr1	11650484	11650655
chr1	11654424	11655078
chr1	11664002	11665020
chr1	11680739	11681821
chr1	11693229	11693416
chr1	11719205	11720013
chr1	11730383	11730585
chr1	11736025	11736263
chr1	11736489	11736879
chr1	11749231	11749395
chr1	11803530	11803733
chr1	11805471	11806617
chr1	11838660	11838948
chr1	11893878	11894158
chr1	11899596	11899727
chr1	11905723	11905848
chr1	11907784	11909361
chr1	11909623	11909975
chr1	11925986	11926696
chr1	11934198	11935077
chr1	11979877	11980765
chr1	12019189	12019718
chr1	12047298	12047965
chr1	12068014	12068248
chr1	12079611	12079764
chr1	12087722	12088067
chr1	12088535	12088822
chr1	12118709	12118828
chr1	12121375	12121529
chr1	12124921	12125440
chr1	12127648	12127925
chr1	12132912	12133255
chr1	12143807	12144094
chr1	12150414	12151061
chr1	12157156	12157967
chr1	12161913	12162260
chr1	12166868	12167955
chr1	12173582	12174083
chr1	12177821	12179436
chr1	12204237	12204400
chr1	12208835	12209610
chr1	12210695	12210929
chr1	12229717	12230565
chr1	12296550	12296697
chr1	12340131	12340257
chr1	12344843	12346047
chr1	12384968	12386656
chr1	12397797	12398258
chr1	12407057	12407885
chr1	12414261	12414458
chr1	12417462	12417636
chr1	12433910	12434671
chr1	12435685	12436016
chr1	12438502	12438832
chr1	12448937	12450036
chr1	12450409	12450562
chr1	12453419	12453726
chr1	12458719	12458913
chr1	12467602	12467891
chr1	12472798	12473730
chr1	12478345	12479003
chr1	12480700	12481208
chr1	12496138	12496555
chr1	12510358	12511247
chr1	12588347	12588550
chr1	12604226	12604757
chr1	12616627	12616793
chr1	12617998	12620102
chr1	12649422	12649588
chr1	12659126	12659379
chr1	12668013	12668190
chr1	12683265	12683441
chr1	13234627	13234866
chr1	13629937	13630127
chr1	13665642	13666307
chr1	13699867	13701588
chr1	13702582	13703272
chr1	13725731	13726178
chr1	13730371	13731424
chr1	13733132	13733330
chr1	13748817	13749933
chr1	13790806	13790945
chr1	13927895	13928071
chr1	14796050	14796294
chr1	14924094	14924742
chr1	14969116	14969360
chr1	15100473	15100705
chr1	15142023	15142233
chr1	15231734	15232054
chr1	15248939	15249434
chr1	15299703	15299832
chr1	15304713	15304863
chr1	15323552	15323955
chr1	15409195	15410286
chr1	15416861	15417938
chr1	15431275	15431525
chr1	15524145	15525436
chr1	15526411	15527094
chr1	15577872	15578115
chr1	15579047	15579806
chr1	15584663	15585319
chr1	15603221	15604050
chr1	15616771	15618135
chr1	15670310	15670435
chr1	15684070	15685265
chr1	15696988	15697850
chr1	15741437	15741582
chr1	15791975	15792263
chr1	15803493	15803785
chr1	15815494	15815855
chr1	15833318	15833523
chr1	15833947	15835466
chr1	15835621	15836302
chr1	15847188	15849649
chr1	15882883	15883029
chr1	15919393	15919673
chr1	15922683	15922817
chr1	15949305	15951188
chr1	15956235	15956449
chr1	15959826	15960051
chr1	15964223	15964353
chr1	15965279	15966663
chr1	15975058	15976520
chr1	15994688	15994859
chr1	16055769	16055902
chr1	16055984	16056342
chr1	16078998	16079362
chr1	16095426	16095597
chr1	16155146	16155327
chr1	16158100	16158349
chr1	16161951	16162654
chr1	16167735	16168115
chr1	16187803	16188081
chr1	16206303	16207308
chr1	16217042	16217714
chr1	16236257	16237454
chr1	16244492	16244658
chr1	16266771	16266887
chr1	16267349	16267505
chr1	16291181	16291415
chr1	16351809	16352994
chr1	16366871	16368281
chr1	16386430	16386840
chr1	16386910	16387686
chr1	16420659	16421489
chr1	16440381	16441655
chr1	16484554	16484667
chr1	16498775	16499632
chr1	16513386	16514852
chr1	16605048	16605556
chr1	16605680	16606214
chr1	16607201	16607722
chr1	16612680	16612986
chr1	16613232	16613972
chr1	16621095	16621572
chr1	16622495	16622712
chr1	16636894	16637029
chr1	16643859	16645158
chr1	16645278	16645422
chr1	16676743	16677107
chr1	16678038	16678359
chr1	16716677	16716804
chr1	16718729	16719064
chr1	16725288	16725773
chr1	16727392	16727954
chr1	16881261	16881496
chr1	16888862	16889652
chr1	16895393	16897079
chr1	16903764	16905695
chr1	16913546	16914621
chr1	16921670	16922148
chr1	16951645	16951945
chr1	16960666	16960903
chr1	17011339	17012226
chr1	17045916	17046045
chr1	17053668	17054505
chr1	17125835	17125995
chr1	17181887	17182059
chr1	17201526	17201936
chr1	17208081	17208207
chr1	17212799	17212997
chr1	17229663	17229843
chr1	17237023	17237448
chr1	17249603	17249740
chr1	17356267	17356622
chr1	17356699	17356852
chr1	17406278	17406408
chr1	17419725	17420183
chr1	17437531	17438615
chr1	17439414	17440103
chr1	17494374	17494623
chr1	17819459	17819574
chr1	18228311	18228465
chr1	18527619	18527738
chr1	18592417	18592538
chr1	18597398	18597604
chr1	18845784	18845933
chr1	18884273	18884451
chr1	18902368	18903196
chr1	18907080	18907258
chr1	18913171	18913319
chr1	18926490	18928184
chr1	18934363	18935025
chr1	18948501	18948889
chr1	18951861	18952505
chr1	18955349	18957108
chr1	18972370	18972745
chr1	19003567	19003841
chr1	19011061	19011598
chr1	19074323	19075245
chr1	19095395	19095557
chr1	19179699	19180240
chr1	19209660	19211059
chr1	19241262	19241666
chr1	19251308	19252392
chr1	19311705	19312416
chr1	19312602	19312719
chr1	19341465	19341856
chr1	19390785	19391629
chr1	19429868	19429997
chr1	19436202	19436330
chr1	19448148	19448705
chr1	19450748	19451013
chr1	19459603	19459927
chr1	19461004	19461332
chr1	19463205	19463683
chr1	19468418	19469594
chr1	19476901	19478605
chr1	19485180	19486282
chr1	19487842	19488137
chr1	19488278	19488408
chr1	19582253	19582830
chr1	19596384	19597997
chr1	19606247	19607294
chr1	19613149	19613386
chr1	19630363	19630485
chr1	19643764	19644984
chr1	19651108	19651403
chr1	19653721	19654014
chr1	19659898	19660054
chr1	19687909	19688742
chr1	19715652	19715972
chr1	19721838	19721962
chr1	19799644	19800515
chr1	19882147	19882979
chr1	20058581	20058900
chr1	20152113	20152621
chr1	20171583	20171747
chr1	20185194	20185908
chr1	20186301	20186604
chr1	20187321	20187558
chr1	20230515	20230775
chr1	20248990	20249416
chr1	20271492	20271707
chr1	20322080	20323352
chr1	20343238	20343368
chr1	20359621	20359750
chr1	20377024	20377268
chr1	20405314	20405424
chr1	20485519	20485721
chr1	20486463	20486603
chr1	20493935	20494249
chr1	20507422	20508357
chr1	20522440	20522592
chr1	20522594	20522712
chr1	20633220	20634706
chr1	20640069	20640445
chr1	20661046	20661887
chr1	20696539	20697228
chr1	20717806	20718269
chr1	20732180	20733659
chr1	20785935	20787788
chr1	20932062	20933140
chr1	21022304	21022979
chr1	21175244	21175593
chr1	21175826	21175988
chr1	21176387	21177240
chr1	21195306	21195592
chr1	21216964	21217248
chr1	21252313	21252485
chr1	21255348	21255591
chr1	21270113	21270667
chr1	21280090	21280300
chr1	21293041	21295241
chr1	21324313	21325171
chr1	21329498	21329774
chr1	21334114	21334982
chr1	21343544	21343865
chr1	21344823	21345964
chr1	21368446	21368828
chr1	21439795	21440418
chr1	21488778	21488930
chr1	21491082	21491261
chr1	21638710	21639082
chr1	21652007	21652369
chr1	21659229	21659536
chr1	21669289	21669432
chr1	21669727	21669946
chr1	21766411	21766600
chr1	21773744	21773914
chr1	21779715	21780082
chr1	21782351	21783760
chr1	21814440	21814765
chr1	21909825	21909967
chr1	21936805	21937097
chr1	21937421	21937821
chr1	21956856	21957530
chr1	21963996	21964379
chr1	22018961	22019497
chr1	22024303	22026263
chr1	22031441	22031927
chr1	22039630	22040525
chr1	22048385	22048562
chr1	22052379	22053967
chr1	22074612	22074800
chr1	22075609	22076081
chr1	22078065	22078196
chr1	22089647	22089894
chr1	22089903	22090145
chr1	22092415	22092865
chr1	22099441	22099574
chr1	22104157	22104332
chr1	22104661	22105903
chr1	22142839	22143041
chr1	22143187	22143444
chr1	22216416	22216608
chr1	22216640	22216806
chr1	22416723	22416844
chr1	22451687	22452793
chr1	22500426	22500623
chr1	22642151	22642440
chr1	22704379	22704801
chr1	23019068	23020330
chr1	23020458	23020634
chr1	23030836	23031164
chr1	23100359	23100531
chr1	23103343	23103763
chr1	23108997	23109284
chr1	23110843	23111191
chr1	23118992	23119602
chr1	23124443	23124641
chr1	23147993	23148480
chr1	23167452	23168273
chr1	23168603	23169130
chr1	23169301	23169428
chr1	23177557	23177967
chr1	23184280	23184477
chr1	23184550	23184807
chr1	23216953	23217271
chr1	23254372	23254496
chr1	23254954	23255134
chr1	23317332	23317492
chr1	23343306	23345048
chr1	23367832	23369353
chr1	23390378	23390533
chr1	23403820	23404385
chr1	23422198	23422952
chr1	23423070	23423268
chr1	23424356	23425253
chr1	23452063	23452398
chr1	23483864	23485009
chr1	23497021	23497669
chr1	23528266	23528823
chr1	23531320	23531636
chr1	23539666	23540244
chr1	23544799	23545010
chr1	23554548	23555525
chr1	23556530	23556910
chr1	23559265	23559722
chr1	23577401	23577732
chr1	23577860	23578023
chr1	23601206	23602582
chr1	23607168	23607608
chr1	23612134	23612247
chr1	23613240	23613376
chr1	23613494	23613754
chr1	23619127	23620292
chr1	23624558	23624684
chr1	23626863	23627918
chr1	23629018	23629167
chr1	23634910	23635404
chr1	23637515	23637662
chr1	23691536	23692454
chr1	23709662	23709802
chr1	23717852	23718016
chr1	23731178	23731350
chr1	23742812	23744361
chr1	23751413	23751528
chr1	23771962	23772556
chr1	23778005	23778804
chr1	23779709	23780259
chr1	23785217	23785375
chr1	23790862	23791898
chr1	23800728	23801331
chr1	23809769	23810092
chr1	23810693	23811079
chr1	23825027	23825700
chr1	23825812	23826066
chr1	23838083	23838791
chr1	23867713	23868848
chr1	23896582	23896806
chr1	23909000	23909184
chr1	23909267	23909389
chr1	23909484	23909619
chr1	23916780	23917118
chr1	23958664	23960470
chr1	23964854	23965103
chr1	23979876	23980924
chr1	24027934	24028330
chr1	24057308	24057426
chr1	24070951	24071384
chr1	24112651	24112765
chr1	24150006	24151103
chr1	24187095	24187579
chr1	24190206	24190363
chr1	24192006	24192178
chr1	24199397	24199819
chr1	24309753	24310263
chr1	24319586	24319736
chr1	24321633	24322972
chr1	24349977	24350169
chr1	24368183	24368360
chr1	24384451	24384583
chr1	24391411	24393479
chr1	24413564	24413803
chr1	24415316	24416113
chr1	24416939	24417193
chr1	24424344	24424498
chr1	24435946	24436074
chr1	24463809	24464219
chr1	24475815	24476036
chr1	24481168	24482238
chr1	24483440	24483659
chr1	24486403	24486910
chr1	24488106	24488615
chr1	24501567	24503158
chr1	24506721	24507701
chr1	24527144	24527418
chr1	24535059	24535605
chr1	24536332	24537062
chr1	24540064	24540623
chr1	24541043	24541371
chr1	24555844	24556290
chr1	24586998	24587640
chr1	24635288	24635487
chr1	24642240	24643634
chr1	24656473	24656593
chr1	24657674	24657816
chr1	24688634	24688864
chr1	24709932	24710194
chr1	24744912	24745948
chr1	24847925	24848869
chr1	24849005	24849156
chr1	24897997	24898507
chr1	24899780	24899928
chr1	24910986	24911609
chr1	24922361	24922587
chr1	24924922	24925636
chr1	24929641	24930697
chr1	24954187	24954299
chr1	24954853	24955573
chr1	24963483	24963739
chr1	24964938	24965479
chr1	24981298	24981971
chr1	24992689	24992925
chr1	25003596	25003949
chr1	25022324	25023292
chr1	25030707	25031092
chr1	25031745	25032636
chr1	25037306	25037769
chr1	25101578	25101875
chr1	25109791	25109939
chr1	25115181	25115356
chr1	25118512	25118898
chr1	25148770	25148952
chr1	25198434	25198600
chr1	25204804	25205067
chr1	25219570	25219934
chr1	25232058	25233331
chr1	25239507	25240485
chr1	25246541	25246659
chr1	25246697	25248042
chr1	25267623	25268386
chr1	25330116	25330544
chr1	25337920	25339557
chr1	25356043	25356346
chr1	25357079	25357514
chr1	25429972	25431365
chr1	25443220	25443644
chr1	25462164	25462346
chr1	25467283	25467654
chr1	25472588	25472828
chr1	25473766	25474273
chr1	25474401	25474885
chr1	25476307	25476873
chr1	25483916	25484054
chr1	25485773	25485983
chr1	25486973	25487129
chr1	25487580	25487773
chr1	25503603	25504284
chr1	25505907	25506058
chr1	25507038	25507310
chr1	25520622	25520838
chr1	25543245	25544773
chr1	25549604	25550398
chr1	25561897	25563106
chr1	25565265	25565668
chr1	25572733	25572973
chr1	25608562	25608853
chr1	25615672	25615801
chr1	25615982	25617565
chr1	25618890	25619484
chr1	25622051	25623283
chr1	25629109	25629558
chr1	25631889	25632798
chr1	25642299	25643176
chr1	25657149	25657307
chr1	25657414	25657556
chr1	25675790	25676887
chr1	25677318	25677513
chr1	25697766	25698073
chr1	25704502	25704651
chr1	25711619	25711759
chr1	25730806	25730995
chr1	25754858	25755310
chr1	25774756	25775721
chr1	25796068	25797146
chr1	25810795	25811190
chr1	25819669	25821095
chr1	25859056	25860007
chr1	25875426	25875991
chr1	25895313	25895833
chr1	25905079	25907187
chr1	25922362	25923191
chr1	25923235	25923698
chr1	25971095	25972011
chr1	25990270	25990482
