ATACchr ATACstart ATACend BIC_atacseq LR_atacseq
chr10 100006331 100006563 1.20611 -0.58565
chr10 100009362 100010421 1.79182 6.31386e-05
chr10 100118128 100118310 1.79177 9.68159e-06
chr10 100148537 100149145 -2.1737 -3.96546
chr10 100164173 100164282 1.78735 -0.00440634
chr10 100167603 100168094 1.68831 -0.103446
chr10 100168185 100168481 1.79178 1.5921e-05
chr10 100184967 100186865 1.79178 1.66515e-05
chr10 100228844 100229761 1.79203 0.000274622
chr10 100248537 100248679 1.79177 1.30668e-05
chr10 100267287 100268052 0.991704 -0.800055
chr10 100286005 100287018 1.79183 6.61388e-05
chr10 100326968 100327250 1.79177 6.71946e-06
chr10 100338524 100338877 1.79176 3.80737e-06
chr10 100342493 100342612 1.79176 1.88662e-06
chr10 100346537 100347590 1.09463 -0.69713
chr10 100370466 100371566 1.79259 0.000834023
chr10 100373210 100374392 1.79189 0.00013214
chr10 100433520 100434238 1.79181 5.23686e-05
chr10 100468359 100468544 1.78699 -0.00476977
chr10 100481544 100482916 1.79177 1.28503e-05
chr10 100508684 100509527 1.79177 9.74773e-06
chr10 100510838 100511373 1.79179 3.24487e-05
chr10 100518739 100518949 1.79176 3.80814e-06
chr10 100519060 100519359 1.63533 -0.156425
chr10 100528355 100529133 1.58672 -0.205041
chr10 100529346 100530240 1.74472 -0.0470414
chr10 100535165 100535364 1.79193 0.000167327
chr10 100535414 100536428 -0.74542 -2.53718
chr10 100561921 100562454 0.972782 -0.818977
chr10 100677488 100677700 1.37457 -0.417192
chr10 100743799 100744191 1.79176 5.04357e-06
chr10 100773915 100774059 1.79169 -6.75587e-05
chr10 100827053 100827294 1.79176 2.13416e-06
chr10 100895675 100895891 1.79177 1.09959e-05
chr10 100912474 100913824 1.7918 3.74643e-05
chr10 100943974 100944170 1.73842 -0.0533426
chr10 100969209 100969697 1.66716 -0.124601
chr10 100987083 100988115 1.79177 1.24238e-05
chr10 100997144 100998272 1.79184 8.32142e-05
chr10 100998781 100999749 1.01145 -0.780306
chr10 101012771 101013369 1.79179 2.90071e-05
chr10 101019083 101019337 1.79178 2.31725e-05
chr10 101030993 101033013 1.79196 0.000203694
chr10 101041255 101041447 1.79178 2.31641e-05
chr10 101042746 101043415 1.03077 -0.760992
chr10 101050149 101050511 1.79177 6.62693e-06
chr10 101060104 101061492 1.79179 3.35162e-05
chr10 101067861 101068077 1.79178 2.02232e-05
chr10 101075851 101076091 1.7918 3.72619e-05
chr10 101095648 101095945 1.79177 6.20164e-06
chr10 101121046 101121770 1.79177 1.25236e-05
